Year,Month,Day,Hour,GOES_Num,Direction,URL,Date
1996,7,17,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.17.0600.v01.nc,1996-07-17
1996,7,17,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.17.1200.v01.nc,1996-07-17
1996,7,17,19,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.17.1900.v01.nc,1996-07-17
1996,7,18,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.18.0000.v01.nc,1996-07-18
1996,7,18,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.18.0600.v01.nc,1996-07-18
1996,7,18,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.18.1200.v01.nc,1996-07-18
1996,7,18,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.18.1800.v01.nc,1996-07-18
1996,7,19,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.19.0000.v01.nc,1996-07-19
1996,7,19,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.19.0600.v01.nc,1996-07-19
1996,7,19,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.19.1200.v01.nc,1996-07-19
1996,7,19,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.19.1800.v01.nc,1996-07-19
1996,7,20,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.20.0000.v01.nc,1996-07-20
1996,7,20,6,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.20.0600.v01.nc,1996-07-20
1996,7,20,12,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.20.1200.v01.nc,1996-07-20
1996,7,20,18,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.20.1800.v01.nc,1996-07-20
1996,7,21,0,9,west,https://www.ncei.noaa.gov/data/gridsat-goes/access/goes/1996/07/GridSat-GOES.goes09.1996.07.21.0000.v01.nc,1996-07-21
